"","MPG","Weight","Cylinders","Gears","Displacement","Horsepower","AxleRatio","NVratio","Transmission","DriveSystem","FuelType"
"161",31.6,3375,3,6,1.5,134,3.88,44,"M","F","Unleaded"
"162",25.1,4250,6,10,3.5,310,3.55,22.3,"SA","F","Unleaded"
"163",34.4,3500,4,1,1.6,188,5.69,29,"CVT","F","Unleaded"
"164",23,4250,6,6,3.456,311,3.77,28.9,"A","R","Unleaded"
"165",29.4,3750,4,6,2,160,3.51,35.4,"SA","F","Unleaded"
"166",23.6,4250,6,8,3.3,365,3.54,26.2,"SA","R","Unleaded"
"167",16.9,5500,8,7,5.461,518,3.47,30,"A","R","Unleaded"
"168",33.1,3125,4,5,1.8,138,3.94,41.6,"M","F","Unleaded"
"169",23.3,4500,4,6,2.694,159,4.3,28.3,"A","R","Unleaded"
"170",25.3,4500,6,9,2.996,329,2.82,22,"A","R","Unleaded"
"171",19.4,4750,8,8,4.4,448,2.81,23.6,"SA","R","Unleaded"
"172",32.2,3250,4,6,2,161,3.27,33.6,"SA","F","Unleaded"
"173",24.6,3500,4,6,2.5,345,3.89,46.8,"M","R","Unleaded"
"174",27.7,3750,4,9,2.4,184,1.79,22.7,"A","F","Unleaded"
"175",20.2,5000,6,6,3,393,3.39,31.5,"A","F","Unleaded"
"176",36,2750,4,5,1.6,109,4.07,47.8,"M","F","Unleaded"
"177",20.5,4500,6,6,3.5,280,3.39,30,"A","A","Unleaded"
"178",18.8,4000,8,7,3.982,550,3.88,31,"A","R","Unleaded"
"179",27.6,4500,4,8,1.984,238,3.6,30.1,"SA","F","Unleaded"
"180",29.1,4500,4,8,2,248,2.81,24.1,"SA","R","Unleaded"
"181",15.8,6000,8,8,6.4,470,3.7,28.3,"A","R","Unleaded"
"182",19.4,5250,8,10,5,395,3.31,22.8,"SA","R","Unleaded"
"183",20.3,5000,6,5,3.956,270,3.73,29.3,"A","R","Unleaded"
"184",28.4,4000,4,8,1.969,302,3.08,27.2,"SA","F","Unleaded"
"185",14.9,6000,12,8,5.95,600,2.85,20.7,"SA","A","Unleaded"
"186",30.2,3875,3,8,1.5,134,3.75,32.1,"SA","F","Unleaded"
"187",32.8,3375,4,6,2,147,3.65,37.3,"SA","A","Unleaded"
"188",28.2,3875,6,8,3.456,301,2.56,22.6,"A","F","Unleaded"
"189",27.6,4000,6,8,3,335,2.81,25.2,"SA","R","Unleaded"
"190",27.9,3750,4,8,2,189,3.2,29.6,"SA","F","Unleaded"
"191",27.2,3750,4,6,2,164,3.65,35.7,"SA","A","Unleaded"
"192",25.1,4000,6,7,3,300,2.94,29.5,"SA","R","Unleaded"
"193",27.4,4500,4,8,1.969,316,3.2,28,"SA","F","Unleaded"
"194",35.5,3500,4,1,2.5,179,4.83,24.4,"CVT","F","Unleaded"
"195",35.8,3250,4,6,2,155,3.85,35.4,"M","F","Unleaded"
"196",18.9,4750,8,9,3.982,604,3.06,23.6,"A","R","Unleaded"
"197",21,4750,6,6,3.5,290,3.39,29.6,"A","A","Unleaded"
"198",24.2,4750,6,8,3.456,295,3.33,26.1,"A","F","Unleaded"
"199",36.6,3375,4,1,2,152,3.7,25.4,"CVT","F","Unleaded"
"200",23.5,4500,6,6,3.456,278,3.91,25.7,"A","R","Unleaded"
"201",47.8,3875,4,6,1.395,150,3.75,33.6,"SA","A","Unleaded"
"202",33.8,3125,4,6,1.6,175,3.82,39.1,"M","F","Unleaded"
"203",28,3750,4,7,1.984,292,3.3,31.2,"SA","A","Unleaded"
"204",27.9,3875,4,9,2,260,2.89,23.3,"SA","F","Unleaded"
"205",21.7,4500,6,6,3.5,280,3.16,27.6,"A","F","Unleaded"
"206",29.2,4500,4,7,1.982,252,5.3,24.7,"SA","F","Unleaded"
"207",22,5000,6,6,3.5,285,3.39,30,"SA","F","Unleaded"
"208",13.6,6500,8,8,6.752,530,2.92,22.3,"SA","R","Unleaded"
"209",21.1,4000,6,8,3.6,455,2.85,25.1,"SA","R","Unleaded"
"210",19.8,4750,6,8,3,405,2.8,23.9,"A","A","Unleaded"
"211",27.9,4500,4,8,1.969,250,3.33,26.7,"SA","F","Unleaded"
"212",23,5000,8,8,4,550,3.15,40.4,"SA","R","Unleaded"
"213",33.6,3250,4,6,2,189,3.5,33.4,"SA","F","Unleaded"
"214",35.7,2875,4,5,1.6,120,4.07,45.3,"M","F","Unleaded"
"215",21.6,4750,8,9,4.664,402,2.47,20,"A","R","Unleaded"
"216",37.3,3125,4,1,1.798,132,4.76,26.4,"CVT","F","Unleaded"
"217",27.8,4250,4,8,1.984,186,3.33,30.7,"SA","A","Unleaded"
"218",15.6,6500,8,6,5.663,381,4.3,27.3,"A","R","Unleaded"
"219",24.1,4500,6,6,3.5,280,4.25,27.6,"A","F","Unleaded"
"220",28.6,4750,4,8,1.969,250,3.33,26.7,"SA","F","Unleaded"
"221",36.2,3375,4,1,1.6,188,5.69,30,"CVT","F","Unleaded"
"222",37.6,3625,4,7,1.5,193,5.36,28.2,"CVT","F","Unleaded"
"223",26.6,3875,4,6,2,248,3.91,35.2,"M","R","Unleaded"
"224",21.2,4750,6,8,3.8,311,3.91,27.5,"SA","R","Unleaded"
"225",30.7,4000,4,8,2,250,3.42,30.4,"SA","A","Unleaded"
"226",27.9,4000,4,8,2,189,3.2,27.5,"SA","F","Unleaded"
"227",78,3375,4,1,1.798,96,2.83,20,"CVT","F","Unleaded"
"228",29,3500,4,6,2,152,4.44,41.8,"M","F","Unleaded"
"229",27.2,3875,4,10,2.3,310,3.15,25.5,"SA","R","Unleaded"
"230",28.1,4000,4,6,2,245,3.07,29.3,"SA","F","Unleaded"
"231",24.6,4250,6,9,3.5,290,3.52,21.8,"SA","F","Unleaded"
"232",29.2,3875,6,8,3.456,301,2.56,23,"A","F","Unleaded"
"233",25.8,4250,6,8,3,335,2.93,24.5,"SA","R","Unleaded"
"234",30,3625,4,6,1.998,148,6.03,28.8,"CVT","F","Unleaded"
"235",40.3,4500,6,1,3.456,286,3.27,18,"CVT","R","Unleaded"
"236",38.1,3625,4,8,2.487,203,2.8,25.1,"A","F","Unleaded"
"237",15.8,4000,10,7,5.204,630,3.94,42.8,"SA","A","Unleaded"
"238",18.6,6000,6,10,3.5,450,4.1,26.4,"SA","R","Unleaded"
"239",25.6,3875,6,9,3.5,290,3.52,21.9,"SA","F","Unleaded"
"240",21.9,4750,6,8,3.8,311,3.91,28.3,"SA","R","Unleaded"
"241",22,5500,8,8,5.3,345,3.08,22.4,"A","R","Unleaded"
"242",24.3,4000,4,5,2.5,152,4.08,39.7,"M","R","Unleaded"
"243",40.1,3125,4,1,2,153,4.68,26.4,"CVT","F","Unleaded"
"244",24.8,4750,6,8,3,320,3.08,24.6,"SA","R","Unleaded"
"245",38.2,2875,4,6,1.5,128,4.62,49.8,"M","F","Unleaded"
"246",29.7,3375,4,6,2,228,3.5,33.1,"SA","F","Unleaded"
"247",40.8,3250,4,1,1.5,174,4.81,26.4,"CVT","F","Unleaded"
"248",34.8,3375,4,6,1.798,137,4.21,41,"M","F","Unleaded"
"249",30.4,3750,3,8,1.5,134,3.75,34.7,"SA","F","Unleaded"
"250",21.3,4750,6,6,3.7,305,3.16,29.1,"A","F","Unleaded"
"251",31.9,3250,4,5,2,160,3.82,42,"M","F","Unleaded"
"252",19.5,5000,8,8,5,420,3.54,24.7,"SA","R","Unleaded"
"253",21,4750,6,5,3.956,270,3.73,29.2,"A","R","Unleaded"
"254",19.8,4750,8,7,4.4,553,3.15,27,"SA","R","Unleaded"
"255",36.1,3250,3,6,1,123,3.44,35.2,"SA","F","Unleaded"
"256",23.1,5000,6,9,2.996,362,2.82,21.2,"A","R","Unleaded"
"257",31.2,3750,4,7,2,155,2.65,28.5,"SA","F","Unleaded"
"258",15.7,4500,8,6,4.7,454,3.54,30.5,"A","R","Unleaded"
"259",18.9,4750,6,5,4,261,3.13,30.1,"A","R","Unleaded"
"260",25.1,4500,4,6,2,252,3.17,29.2,"A","F","Unleaded"
"261",39.6,3125,4,1,2,158,4.68,26.4,"CVT","F","Unleaded"
"262",30.1,3750,4,6,2.494,176,3.82,28.7,"A","F","Unleaded"
"263",21.9,5000,6,8,3,300,3.15,25,"SA","R","Unleaded"
"264",13.8,4750,12,7,6.3,680,3.88,29.9,"SA","R","Unleaded"
"265",24.3,4250,6,7,3,300,2.94,29.1,"SA","R","Unleaded"
"266",21.1,5250,6,8,3.6,420,2.92,41.4,"SA","A","Unleaded"
"267",27.4,3875,4,6,2,245,2.89,29.5,"SA","F","Unleaded"
"268",19.2,5250,6,6,3.5,355,3.16,27.1,"SA","F","Unleaded"
"269",28.7,2750,4,6,1.8,237,2.56,21.7,"SA","R","Unleaded"
"270",26.5,3875,4,6,2.4,181,3.2,31.1,"SA","A","Unleaded"
"271",26.8,4000,4,6,2.4,185,3.51,32.6,"SA","F","Unleaded"
"272",26.4,3625,4,6,2,248,3.91,37,"M","R","Unleaded"
"273",19.1,5250,8,8,5,420,3.54,24.7,"SA","R","Unleaded"
"274",24.9,4000,6,1,3.6,256,4.11,25.7,"CVT","F","Unleaded"
"275",24.9,4250,4,6,2.5,194,4.1,33.9,"M","R","Unleaded"
"276",24.3,4250,4,6,2,240,3.51,32.6,"SA","A","Unleaded"
"277",19.4,5000,8,7,3.993,450,3.63,27.6,"SA","A","Unleaded"
"278",24.6,3625,6,7,3,420,3.59,43.1,"M","R","Unleaded"
"279",27.5,4000,4,8,2,248,2.81,24,"SA","R","Unleaded"
"280",32.9,3875,4,6,2.5,193,2.64,25.2,"A","F","Unleaded"
"281",22.7,4500,6,9,2.996,362,3.69,26.5,"A","R","Unleaded"
"282",27.2,3750,4,6,2.4,181,3.2,31,"SA","F","Unleaded"
"283",22.8,5000,6,8,3.6,300,3.7,53.7,"SA","A","Unleaded"
"284",27.6,4500,4,8,2,300,3.73,28.7,"SA","A","Unleaded"
"285",24.4,5250,4,6,2.8,181,3.42,25.9,"A","R","Diesel"
"286",59.8,4250,4,1,2,141,2.91,38.4,"CVT","F","Unleaded"
"287",23.2,4000,6,6,3.6,305,2.77,26,"SA","F","Unleaded"
"288",34,3125,4,6,2,189,3.5,33.4,"SA","F","Unleaded"
"289",24.8,4500,6,6,3.5,280,4.25,27.6,"A","F","Unleaded"
"290",16.4,6000,8,6,5.663,381,4.3,27.3,"A","R","Unleaded"
"291",30.7,3500,4,6,1.984,210,3.14,32.3,"SA","F","Unleaded"
"292",40.5,3125,4,1,1.798,140,4.76,26.4,"CVT","F","Unleaded"
"293",20.9,4750,6,8,3,340,2.56,21.4,"SA","A","Unleaded"
"294",36.1,2875,4,6,1.6,120,3.9,40.1,"A","F","Unleaded"
"295",25.3,4250,6,7,3,400,3.13,31.7,"SA","R","Unleaded"
"296",25,3625,4,6,2,272,3.27,31.1,"M","R","Unleaded"
"297",17.1,4500,12,7,5.98,621,2.65,25,"A","R","Unleaded"
"298",20.4,5500,8,9,3.982,463,2.65,19.9,"A","R","Unleaded"
"299",23.3,4750,6,9,3.5,280,4.33,25.2,"SA","F","Unleaded"
